序号,土壤温度,土壤湿度,PH值,空气温度,空气湿度,光照强度,二氧化碳,氮,麟,钾
93,7.4,22.9,6.7,11.3,73.4,1161,421,7,26,30
94,7.7,23.0,6.7,11.4,68.1,1096,448,7,26,30
95,8.1,23.1,6.7,11.5,70.8,1096,416,7,26,31
96,8.2,23.0,6.7,11.0,70.2,903,456,7,26,31
97,8.3,22.9,6.7,9.4,75.1,709,455,7,26,31
98,8.2,22.8,6.6,8.0,86.6,516,474,7,26,31
99,8.2,22.9,6.7,6.8,89.9,0,461,7,26,31
100,7.9,22.7,6.7,5.2,93.9,64,420,7,26,30
101,7.7,22.6,6.6,3.9,95.1,0,415,7,25,30
102,7.4,22.5,6.7,3.7,96.4,0,427,8,25,30
103,7.1,22.6,6.7,3.0,97.0,0,415,8,25,30
104,6.9,22.4,6.7,2.4,97.5,0,420,8,25,30
105,6.6,22.6,6.7,2.1,97.1,0,430,8,25,29
106,6.5,22.4,6.7,1.9,97.8,0,426,8,25,29
107,6.3,22.2,6.7,1.3,97.9,0,436,8,25,29
108,6.0,22.4,6.7,1.4,97.5,0,424,8,25,29
109,5.9,22.2,6.7,1.3,98.0,0,429,8,24,29
110,5.7,22.2,6.6,1.0,98.1,0,424,8,24,28
111,5.8,22.1,6.7,0.7,98.1,0,423,8,24,29
112,5.6,22.1,6.7,0.7,97.7,0,429,8,24,29
113,5.4,22.2,6.7,0.4,97.7,0,426,8,24,28
114,5.3,22.4,6.7,0.4,97.8,0,434,8,24,28
115,5.3,22.2,6.7,0.2,97.6,0,432,8,24,28
116,5.1,22.4,6.7,-0.1,97.1,0,434,8,24,28
117,5.1,22.1,6.7,-0.2,95.9,0,440,8,24,28
118,5.0,22.4,6.6,-0.2,97.3,0,441,8,24,28
119,4.9,22.4,6.7,-0.5,96.7,0,446,8,24,28
120,4.7,22.1,6.7,-0.9,95.3,0,453,8,24,28
121,4.6,22.2,6.6,-0.9,95.3,0,448,8,24,28
122,4.4,22.2,6.6,-1.0,96.9,0,438,8,24,28
123,4.4,22.4,6.7,-1.2,94.6,0,456,8,24,28
124,4.4,22.1,6.7,-1.1,96.3,0,447,8,24,28
125,4.3,22.2,6.7,-1.3,95.2,0,445,8,24,28
126,4.3,22.1,6.7,-1.6,95.2,0,442,8,24,28
127,4.2,22.4,6.7,-1.4,94.6,0,442,8,24,28
128,4.0,22.1,6.7,1.1,96.1,129,444,8,24,28
129,4.0,22.4,6.7,0.1,97.8,258,454,8,23,27
130,4.1,22.4,6.6,1.2,98.4,645,442,8,24,28
131,4.3,22.4,6.7,2.7,96.7,967,489,8,24,28
132,4.5,22.4,6.6,3.6,93.0,1096,444,8,24,28
133,4.7,22.5,6.7,5.2,90.9,1548,448,8,24,28
134,5.1,22.6,6.7,7.1,83.1,1483,437,8,24,29
135,5.5,22.8,6.6,7.7,78.5,1419,432,8,24,29
136,5.7,22.7,6.7,6.8,82.6,903,428,8,24,29
137,5.9,22.6,6.6,7.2,78.2,838,421,8,25,29
138,6.1,22.7,6.7,7.0,80.1,709,421,8,25,29
139,6.3,22.5,6.7,7.1,79.9,709,417,8,25,29
140,6.3,22.6,6.6,7.5,78.1,709,422,8,25,29
141,6.4,22.7,6.7,7.1,77.8,451,414,8,25,29
142,6.4,22.6,6.7,6.9,78.3,322,434,8,25,30
143,6.5,22.6,6.7,6.6,80.3,193,429,8,25,29
144,6.6,22.6,6.6,6.1,87.8,193,438,8,25,29
145,6.5,22.4,6.6,5.9,91.8,129,459,8,25,29
146,6.5,22.4,6.6,5.8,90.8,0,499,8,25,29
147,6.6,22.7,6.7,5.5,93.0,0,465,8,25,29
148,6.6,22.7,6.7,5.3,93.5,0,445,8,25,29
149,6.5,22.7,6.6,5.2,92.6,0,445,8,25,29
150,6.5,22.6,6.6,5.2,94.7,0,444,8,25,29
151,6.4,22.4,6.7,5.2,94.8,0,438,8,25,29
152,6.5,22.7,6.7,5.1,94.8,0,453,8,25,29
153,6.4,22.7,6.7,5.1,95.4,0,450,8,25,29
154,6.4,22.5,6.6,5.1,95.9,0,453,8,25,29
155,6.4,22.7,6.7,5.1,96.0,0,449,8,25,29
156,6.4,22.6,6.7,5.0,96.0,0,450,8,25,29
157,6.4,22.4,6.7,4.9,96.7,0,455,8,25,29
158,6.4,22.5,6.7,4.8,96.5,0,459,8,25,29
159,6.4,22.5,6.6,4.9,97.3,0,448,8,25,29
160,6.4,22.7,6.7,4.9,97.6,0,454,8,25,29
161,6.4,22.6,6.7,5.0,96.8,0,450,8,25,29
162,6.4,22.7,6.7,5.0,96.6,0,455,8,25,29
163,6.4,22.7,6.6,5.1,96.6,0,447,8,25,29
164,6.5,22.5,6.7,5.2,94.9,0,442,8,25,29
165,6.4,22.7,6.6,5.2,95.7,0,453,8,25,29
166,6.5,22.6,6.7,5.1,96.3,0,458,8,25,29
167,6.5,22.6,6.7,5.2,95.9,0,455,8,25,30
168,6.5,22.4,6.7,5.1,95.3,0,451,8,25,29
169,6.5,22.7,6.7,5.2,96.2,0,454,8,25,29
170,6.5,22.5,6.6,5.2,96.0,0,451,8,25,29
171,6.5,22.4,6.7,5.3,96.0,0,451,8,25,29
172,6.5,22.6,6.6,5.3,95.0,0,449,8,25,29
173,6.4,22.6,6.7,5.3,95.2,0,458,8,25,30
174,6.5,22.7,6.6,5.4,94.8,0,455,8,25,29
175,6.6,22.4,6.7,5.4,95.3,0,460,8,25,29
176,6.6,22.6,6.7,6.1,88.1,0,455,8,25,29
177,6.6,22.5,6.7,6.6,77.5,64,430,8,25,29
178,6.6,22.7,6.7,6.4,86.7,64,444,8,25,30
179,6.8,22.7,6.7,6.6,85.9,64,434,8,25,29
180,6.9,22.7,6.7,6.6,87.8,129,435,8,25,30
181,6.9,22.5,6.6,6.8,84.7,193,435,8,25,30
182,6.9,22.7,6.7,6.8,81.6,193,421,8,25,29
183,7.1,22.7,6.7,6.7,87.2,193,443,8,25,30
184,7.1,22.7,6.7,7.1,75.0,193,415,8,25,29
185,7.1,22.5,6.7,7.1,61.8,193,410,8,25,30
186,7.2,22.6,6.7,7.1,72.4,193,411,8,25,29
187,7.2,22.7,6.7,7.0,80.3,193,415,8,25,30
188,7.3,22.6,6.7,7.0,76.5,193,422,8,25,30
189,7.3,22.8,6.7,7.1,74.4,258,419,7,25,30
190,7.4,22.6,6.6,7.0,75.5,258,428,8,25,30
191,7.4,22.7,6.7,7.0,80.9,258,436,8,25,30
192,7.4,22.8,6.7,7.0,77.2,129,418,7,25,30
193,7.5,22.7,6.7,6.8,77.4,64,417,8,25,30
194,7.4,22.6,6.7,6.4,71.1,0,424,8,25,30
195,7.3,22.6,6.7,6.5,70.4,0,413,8,25,30
196,7.4,22.6,6.6,6.1,78.3,0,418,8,25,30
197,7.3,22.6,6.7,6.1,78.9,0,401,8,25,30
198,7.2,22.7,6.7,5.8,84.7,0,409,8,25,30
199,7.2,22.5,6.7,6.1,85.7,0,413,8,25,30
200,7.2,22.6,6.5,5.7,87.8,0,413,8,25,30
201,7.2,22.5,6.6,5.6,86.2,0,408,8,25,30
202,7.1,22.5,6.6,5.5,87.3,0,410,8,25,30
203,7.1,22.6,6.7,5.3,88.9,0,409,8,25,30
204,7.0,22.6,6.7,5.3,90.0,0,413,7,25,30
205,7.0,22.7,6.7,5.1,91.0,0,410,8,25,30
206,6.9,22.6,6.7,5.0,90.4,0,416,8,25,30
207,7.0,22.5,6.7,5.0,92.3,0,417,8,25,30
208,6.9,22.7,6.6,4.9,92.3,0,417,8,25,29
209,6.8,22.6,6.7,4.9,92.4,0,419,8,25,30
210,6.8,22.4,6.7,4.9,91.7,0,413,8,25,30
211,6.7,22.4,6.6,4.9,92.3,0,420,8,25,29
212,6.8,22.5,6.7,4.8,91.1,0,422,8,25,29
213,6.7,22.3,6.7,4.8,91.2,0,431,8,25,30
214,6.6,22.6,6.7,4.8,92.0,0,427,8,25,29
215,6.7,22.6,6.7,4.8,93.7,0,427,8,25,29
216,6.7,22.6,6.7,4.7,94.1,0,426,8,25,29
217,6.6,22.4,6.7,4.7,93.8,0,421,8,25,29
218,6.7,22.4,6.7,4.7,93.2,0,417,8,25,30
219,6.6,22.4,6.7,4.6,93.4,0,417,8,25,29
220,6.6,22.3,6.6,4.6,93.1,0,419,8,25,29
221,6.6,22.4,6.7,4.7,94.2,0,424,8,25,29
222,6.7,22.5,6.7,4.5,94.0,0,429,8,25,29
223,6.6,22.4,6.7,4.7,94.8,0,431,8,24,29
224,6.5,22.4,6.7,4.9,95.1,64,439,8,25,29
225,6.6,22.6,6.7,5.1,93.6,193,450,8,25,29
226,6.7,22.4,6.7,5.7,94.2,193,453,8,25,30
227,6.8,22.7,6.7,6.1,92.8,451,473,8,25,30
228,6.8,22.4,6.6,6.9,88.1,709,434,8,25,29
229,7.1,22.6,6.7,7.3,84.5,516,423,8,25,30
230,7.1,22.7,6.6,7.4,85.6,967,427,8,25,30
231,7.2,22.7,6.7,8.2,76.8,967,417,8,25,30
232,7.4,22.7,6.5,8.6,69.0,1161,406,8,25,30
233,7.7,22.9,6.6,9.3,70.3,1161,405,8,25,30
234,7.9,22.7,6.6,10.0,71.0,1483,407,7,26,30
235,8.2,22.8,6.6,11.1,62.2,1225,396,7,26,30
236,8.4,22.8,6.6,11.0,68.5,1161,405,7,26,31
237,8.7,22.9,6.6,10.6,71.5,1096,420,7,26,31
238,8.9,22.7,6.5,10.5,71.3,903,422,7,26,31
239,9.0,22.7,6.6,9.3,72.9,709,419,7,26,31
240,8.8,22.7,6.6,8.1,85.6,516,425,7,26,31
241,8.6,22.7,6.7,7.1,90.6,322,446,7,26,31
242,8.4,22.4,6.6,5.7,87.7,129,419,7,26,30
243,8.1,22.5,6.7,3.8,95.2,0,411,7,25,30
244,7.8,22.4,6.7,3.0,96.1,0,408,8,25,30
245,7.4,22.1,6.7,2.5,96.0,0,413,8,25,30
246,7.2,22.4,6.7,2.2,96.9,0,419,8,25,29
247,7.0,22.4,6.7,1.7,97.5,0,417,8,25,29
248,6.7,22.3,6.6,1.5,97.3,0,420,8,25,29
249,6.5,22.1,6.7,0.8,97.3,0,421,8,24,29
250,6.3,22.1,6.7,1.2,97.6,0,425,8,24,29
251,6.2,22.2,6.6,0.7,97.6,0,424,8,24,29
252,6.0,22.0,6.7,0.6,97.1,0,423,8,24,29
253,5.9,22.2,6.7,0.4,97.2,0,426,8,24,29
254,5.7,22.2,6.7,0.3,97.1,0,422,8,24,28
255,5.6,22.0,6.6,0.0,97.5,0,426,8,24,28
256,5.6,22.2,6.7,-0.3,96.2,0,429,8,24,28
257,5.4,22.1,6.7,-0.3,96.4,0,431,8,24,28
258,5.3,22.1,6.7,-0.7,96.3,0,430,8,24,28
259,5.1,22.0,6.7,-0.7,96.3,0,430,8,24,28
260,5.0,22.0,6.7,-0.8,97.2,0,431,8,24,28
261,5.0,21.9,6.7,-0.9,96.1,0,436,8,24,28
262,4.9,21.9,6.7,-1.0,96.9,0,434,8,24,28
263,4.8,22.1,6.6,-1.1,95.6,0,438,8,24,28
264,4.7,21.9,6.7,-1.2,96.0,0,435,8,23,28
265,4.6,22.1,6.7,-1.8,96.8,0,431,8,24,28
266,4.4,22.0,6.7,-1.5,95.8,0,435,8,24,28
267,4.4,21.9,6.7,-1.7,95.4,0,440,8,23,27
268,4.3,21.9,6.6,-1.7,95.8,0,435,8,23,27
269,4.2,21.9,6.6,-1.9,95.0,0,434,8,23,27
270,4.0,21.9,6.7,-1.9,96.3,0,431,8,23,27
271,4.0,21.9,6.7,-1.5,96.2,64,442,8,23,27
272,4.0,22.2,6.6,-0.3,97.4,193,441,9,23,27
273,4.1,21.9,6.7,0.7,98.3,516,427,9,23,27
274,4.2,22.3,6.7,2.0,97.1,903,434,8,23,27
275,4.4,22.0,6.7,3.0,92.9,1096,430,8,24,28
276,4.8,22.1,6.7,4.7,89.5,1354,444,8,24,28
277,5.0,22.2,6.7,6.0,84.9,1483,437,8,24,28
278,5.5,22.4,6.5,7.3,77.4,1419,431,8,24,28
279,5.8,22.6,6.6,7.9,78.8,1290,433,8,24,29
280,6.2,22.6,6.7,8.9,77.5,1290,430,8,24,29
281,6.7,22.8,6.6,9.6,75.7,1290,421,8,25,29
282,7.1,22.7,6.6,10.0,74.8,1225,432,8,25,30
283,7.4,22.8,6.6,10.6,71.2,1161,417,8,25,30
284,7.7,22.9,6.6,10.9,68.7,1161,419,7,25,30
285,8.0,22.7,6.6,10.9,74.5,1096,414,7,26,30
286,8.1,22.7,6.6,10.1,76.1,838,443,7,26,30
287,8.2,22.7,6.7,8.8,81.4,645,439,7,25,30
288,8.2,22.7,6.7,8.0,86.6,451,426,7,26,30
289,8.1,22.7,6.7,6.7,93.1,193,475,8,25,30
290,7.8,22.6,6.7,5.3,94.5,64,426,7,25,30
291,7.5,22.3,6.6,4.1,96.7,0,420,8,25,30
292,7.3,22.2,6.7,4.1,97.9,0,424,8,25,30
293,7.1,22.2,6.7,4.9,98.3,0,426,8,25,29
294,7.1,22.2,6.6,5.3,96.3,0,471,8,25,29
295,7.0,22.5,6.7,5.5,95.0,0,443,8,25,29
296,7.0,22.4,6.7,5.9,91.1,0,436,8,25,29
297,7.0,22.2,6.6,5.8,94.1,0,444,8,25,29
298,7.1,22.4,6.6,5.8,93.8,0,452,8,25,29
299,7.0,22.4,6.7,5.7,95.2,0,453,8,25,30
300,7.0,22.5,6.6,5.7,94.7,0,453,8,25,29
301,7.1,22.4,6.7,5.8,94.5,0,462,8,25,30
302,7.0,22.3,6.6,5.8,93.0,0,457,8,25,29
303,7.0,22.5,6.6,5.8,94.3,0,469,8,25,29
304,6.9,22.2,6.5,5.7,94.2,0,467,8,25,29
305,7.0,22.5,6.6,5.8,94.9,0,455,8,25,29
306,6.9,22.2,6.6,5.8,95.3,0,458,8,25,29
307,6.9,22.5,6.6,5.7,93.8,0,452,8,25,29
308,7.0,22.4,6.6,5.7,94.9,0,454,8,25,29
309,7.0,22.4,6.7,5.7,94.3,0,451,8,25,30
310,7.0,22.4,6.7,5.8,94.6,0,453,8,25,29
311,6.9,22.5,6.7,5.7,95.4,0,461,8,25,30
312,7.0,22.5,6.6,5.7,95.4,0,461,8,25,29
313,7.0,22.4,6.7,5.6,98.1,0,458,8,25,29
314,6.9,22.2,6.6,5.6,99.1,0,463,8,25,29
315,6.9,22.4,6.7,5.6,93.8,0,464,8,25,29
316,7.0,22.5,6.6,5.5,93.9,0,463,8,25,29
317,7.0,22.4,6.7,5.6,93.9,0,476,8,25,29
318,6.9,22.2,6.6,5.7,93.9,0,466,8,25,29
319,7.0,22.4,6.7,5.7,94.0,0,467,8,25,29
320,7.0,22.3,6.7,5.8,94.0,64,470,8,25,29
321,7.0,22.2,6.6,5.9,94.0,129,465,8,25,29
322,7.0,22.4,6.7,6.1,94.1,129,455,8,25,29
323,7.1,22.2,6.6,6.2,94.1,193,521,8,25,29
324,7.1,22.3,6.7,6.3,94.2,193,503,8,25,29
325,7.2,22.3,6.6,6.5,94.2,193,478,8,25,30
326,7.2,22.6,6.6,6.7,94.3,322,558,8,25,29
327,7.3,22.5,6.6,6.6,94.1,322,468,8,25,29
328,7.3,22.5,6.7,6.7,94.1,193,471,8,25,30
329,7.4,22.3,6.6,6.6,94.2,193,445,8,25,30
330,7.4,22.6,6.6,6.7,94.2,258,446,8,25,29
331,7.5,22.7,6.6,6.6,94.3,193,439,8,25,30
332,7.4,22.6,6.6,6.7,94.3,193,462,8,25,30
333,7.4,22.3,6.6,6.9,94.1,193,465,8,25,29
334,7.5,22.4,6.6,6.8,94.1,129,521,8,25,30
335,7.6,22.4,6.7,6.7,94.2,129,448,8,25,29
336,7.6,22.4,6.6,6.7,94.2,64,513,8,25,30
337,7.6,22.5,6.7,6.6,94.2,0,470,8,25,29
338,7.5,22.4,6.6,6.6,94.2,0,481,8,25,30
339,7.5,22.4,6.6,6.4,94.2,0,475,8,25,30
340,7.6,22.4,6.6,6.3,94.3,0,467,8,25,30
341,7.5,22.4,6.6,6.4,94.2,0,490,8,25,30
342,7.4,22.4,6.6,6.4,94.3,0,514,8,25,30
343,7.5,22.6,6.6,6.5,94.2,0,508,8,25,30
344,7.5,22.6,6.5,6.5,94.3,0,495,8,25,30
345,7.5,22.4,6.6,6.4,94.4,0,492,8,25,30
346,7.5,22.5,6.6,6.5,94.3,0,478,8,25,30
347,7.5,22.4,6.6,6.5,94.4,0,481,8,25,30
348,7.4,22.3,6.6,6.4,94.4,0,460,8,25,30
349,7.4,22.4,6.5,6.4,94.4,0,471,8,25,30
350,7.5,22.5,6.6,6.4,94.4,0,467,8,25,30
351,7.5,22.2,6.6,6.2,94.5,0,481,8,25,30
352,7.5,22.4,6.6,6.3,94.4,0,487,8,25,30
353,7.4,22.5,6.6,6.3,94.5,0,477,8,25,30
354,7.4,22.6,6.6,6.3,94.6,0,488,8,25,30
355,7.5,22.6,6.6,6.2,94.5,0,487,8,25,30
356,7.5,22.4,6.6,6.3,94.5,0,513,8,25,30
357,7.5,22.5,6.6,6.3,94.5,0,501,8,25,30
358,7.4,22.6,6.6,6.5,94.6,0,466,8,25,30
359,7.5,22.6,6.6,6.5,94.6,0,471,8,25,30
360,7.4,22.4,6.6,6.5,94.6,0,460,8,25,30
361,7.5,22.5,6.6,6.6,94.6,0,471,8,25,30
362,7.6,22.6,6.6,6.6,94.6,0,507,8,25,30
363,7.5,22.4,6.6,6.6,94.7,0,490,7,25,30
364,7.5,22.4,6.6,6.6,94.6,0,464,8,25,30
365,7.6,22.4,6.6,6.3,94.6,0,469,8,25,30
366,7.6,22.5,6.6,6.3,94.6,0,470,8,25,30
367,7.6,22.4,6.5,6.5,94.7,0,491,8,25,30
368,,,,6.8,94.7,193,530,8,25,30
369,7.7,22.7,6.6,7.1,94.7,258,553,8,25,30
370,7.7,22.4,6.6,7.5,94.7,451,563,7,25,30
371,7.8,22.7,6.6,7.7,94.7,516,471,7,25,30
372,7.9,22.6,6.6,7.9,94.7,0,469,8,25,30
373,8.0,22.6,6.6,7.9,94.8,580,485,7,26,30
374,8.1,22.5,6.6,8.1,94.8,516,484,7,26,30
375,8.2,22.7,6.6,8.1,94.7,645,464,7,26,31
376,8.2,22.7,6.6,8.2,94.8,516,462,7,26,30
377,8.3,22.6,6.6,8.5,94.8,903,453,7,26,30
378,8.5,22.7,6.6,9.2,94.8,1096,462,7,26,30
379,8.5,22.7,6.6,8.8,94.8,709,444,7,26,31
380,8.6,22.8,6.6,8.5,94.8,645,431,7,26,31
381,8.6,22.7,6.6,8.6,94.8,580,443,7,26,31
382,,,,8.5,94.8,451,427,7,26,31
383,8.6,22.8,6.6,8.3,94.8,322,445,7,26,30
384,8.7,22.7,6.6,8.1,94.8,193,423,7,26,30
385,8.6,22.7,6.6,7.6,94.9,64,426,7,26,31
386,8.5,22.5,6.5,7.1,94.8,0,433,7,26,30
387,8.5,22.7,6.6,6.6,94.9,0,435,7,26,30
388,8.3,22.5,6.6,5.8,94.9,0,438,7,26,31
389,8.1,22.7,6.6,5.8,94.9,0,447,7,25,30
390,8.1,22.6,6.6,5.6,94.9,0,443,8,25,30
391,8.0,22.4,6.6,5.8,94.9,0,440,7,25,30
392,7.9,22.5,6.6,5.6,94.9,0,446,7,25,30
393,7.8,22.6,6.6,5.3,95.0,0,466,7,25,30
394,7.7,22.6,6.7,4.8,94.9,0,447,7,26,31
395,7.6,22.3,6.6,4.8,94.9,0,456,8,25,30
396,7.5,22.4,6.6,4.6,94.9,0,453,7,25,30
397,7.5,22.6,6.6,4.6,95.0,0,453,8,25,30
398,7.4,22.6,6.6,4.6,95.0,0,452,8,25,30
399,7.2,22.5,6.6,4.6,95.0,0,459,8,25,30
400,7.2,22.5,6.6,4.6,95.0,0,458,8,25,30
401,7.2,22.4,6.6,4.7,95.0,0,452,8,25,30
402,7.3,22.3,6.5,4.6,95.0,0,457,8,25,30
403,7.2,22.3,6.6,5.1,95.0,0,474,8,25,30
404,7.2,22.4,6.6,5.5,95.1,0,481,8,25,30
405,7.1,22.6,6.5,5.2,95.1,0,457,8,25,30
406,7.3,22.3,6.6,5.0,95.1,0,470,8,25,30
407,7.2,22.4,6.7,4.6,95.0,0,471,8,25,29
408,7.1,22.4,6.6,5.1,95.1,0,457,8,25,30
409,7.1,22.3,6.6,5.3,95.1,0,449,8,25,30
410,7.2,22.6,6.5,5.7,95.1,0,463,8,25,30
411,7.2,22.6,6.6,5.5,95.1,0,455,8,25,30
412,7.2,22.5,6.5,5.4,95.1,0,450,8,25,30
413,7.2,22.5,6.7,4.9,95.1,0,447,8,25,30
414,7.1,22.2,6.7,3.5,95.1,64,452,8,25,30
415,7.1,22.5,6.6,4.4,95.1,258,470,8,25,29
416,7.1,22.4,6.7,5.6,95.2,451,461,8,25,30
417,7.1,22.7,6.6,6.1,95.2,709,431,8,25,30
418,7.2,22.6,6.6,6.2,95.2,1032,430,8,25,30
419,7.4,22.5,6.6,7.4,95.2,1290,427,8,25,30
420,7.6,22.7,6.6,8.2,95.2,1419,426,7,25,30
421,7.8,22.7,6.6,9.0,95.2,1354,424,7,25,30
422,8.0,22.7,6.6,9.2,95.2,1161,423,7,26,30
423,8.3,22.7,6.6,9.9,95.2,1225,421,7,26,30
424,,,,10.0,95.2,1290,422,7,26,31
425,8.8,22.7,6.6,10.8,95.2,1225,419,7,26,32
426,9.1,22.8,6.6,10.6,95.4,1161,427,7,26,31
427,9.3,22.7,6.6,10.5,89.9,1096,439,7,26,31
428,9.5,22.7,6.6,10.4,87.3,1032,435,7,26,31
429,9.6,22.7,6.6,10.1,83.5,903,437,7,26,31
430,9.5,22.7,6.6,5.1,84.5,967,423,7,26,31
431,9.4,22.7,6.6,8.2,90.8,451,448,7,26,31
